Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
begin_5e9fe8e7	"Friendly Stranger"	Anyway, I'm glad you're here, new kid.	game/script.rpy	289	"Friendly Stranger" "[what]"
begin_f92a9b23	el	I'm Elliot. I'm hoping you'll help me convince Mayor Watson not to sell our lot to those parking guys.	game/script.rpy	290	el "[what]"
parkingguys_26899442	el	That guy over there in the suit is from CityPark. They want to turn our empty lot into a big parking [structure] for the neighborhood.	game/script.rpy	298	el "[what]"
parkingguys_d8ac5a89	el	But me and the other Community Gardeners have been trying to convince Mayor Watson to donate the lot to our food justice project instead.	game/script.rpy	299	el "[what]"
parkingguys_63f8d405	el	The parking [structure] makes money, but a community garden would be huge for this neighborhood!	game/script.rpy	300	el "[what]"
parkingguys_47ada2e0	t	Hey! Sorry to interrupt - but this seems like a good time to show you your notebook!	game/script.rpy	305	t "[what]"
parkingguys_e0d9612f	t	See the + button to the left? This automatically adds whatever is being said to your notebook!	game/script.rpy	307	t "[what]"
parkingguys_8a50f008	t	If you want to open your notebook and see what notes you've taken, you can click on the Notes button in the top right!	game/script.rpy	308	t "[what]"
parkingguys_53b6aefe	t	You can edit notes you've taken, or write your own custom notes! You can also delete notes you don't want.	game/script.rpy	309	t "[what]"
parkingguys_63d3479d	t	Hope that helps!	game/script.rpy	310	t "[what]"
parkingguys_08c722ce	el	Whoa, a bee just flew past your face! You know, I bet if we built a garden here, the bees would love it.	game/script.rpy	315	el "[what]"
parkingguys_c959488d	el	The garden would be great for people too. The nearest grocery store is miles away, and most folks don't have a car.	game/script.rpy	316	el "[what]"
explain_problem_b9d5db23	el	Our food justice project needs space to build a community garden in our neighborhood, so that folks here can grow fresh food that doesn't cost so much.	game/script.rpy	332	el "[what]"
explain_problem_c82984f8	el	Gardens are awesome, obviously, but for some reason the Mayor says he wants to see data about the benefits before making a decision.	game/script.rpy	333	el "[what]"
explain_problem_442f6aaa	el	I'm trying to gather some evidence to convince him, but I could really use some help.	game/script.rpy	334	el "[what]"
agreement_15c98b85	el	Awesome! I really appreciate it.	game/script.rpy	344	el "[what]"
foodjusticeexplain_186cdd7e	el	Food justice is this idea that everybody deserves access to healthy food that they can afford.	game/script.rpy	348	el "[what]"
foodjusticeexplain_24c3c237	el	Food in our community should also include stuff that makes sense for each person's culture, because not everyone eats the same kinds of foods.	game/script.rpy	349	el "[what]"
foodjusticeexplain_02f72068	el	So many people in the U.S. only have access to fast-food restaurants, gas station food, and other places that sell food that is super processed.	game/script.rpy	350	el "[what]"
foodjusticeexplain_3c65c0b8	el	There's nothing wrong with eating that food sometimes, but if that's the only kind of food people in your neighborhood can buy that is affordable, then everyone has more trouble eating healthy and feeling good.	game/script.rpy	351	el "[what]"
talk_later_54a96741	el	If you're interested, you should go talk with the Community Gardeners. Wes and Nadia, the head gardeners, are over at Westgate Community Garden on the other side of the city.	game/script.rpy	360	el "[what]"
talk_later_50d65081	el	It would be so great if we could have a garden like that in our neighborhood! They even have beehives!	game/script.rpy	361	el "[what]"
talk_later_2cea9e17	el	You can also check out the science lab, where my friend Riley has been hanging out to learn about food science.	game/script.rpy	362	el "[what]"
foodlab_6e064d56	narrator	You step into a bustling room full of scientific equipment. A woman in a lab coat is currently sorting vials on a nearby counter.	game/script.rpy	390	narrator "[what]"
foodlab_3f36174b	narrator	Over by the table, another person is sorting papers and taking notes. You see brightly colored posters that read 'Community Gardeners'.	game/script.rpy	391	narrator "[what]"
labregular_f1e5e3c7	narrator	Click the person you want to talk to, or click the map to travel somewhere else.	game/script.rpy	397	narrator "[what]"
riley_1_440b30cb	r	Hi there! Elliot texted me and said he recruited you to help us gather notes for the Southport garden project.	game/script.rpy	414	r "[what]"
rileyintro_fef29886	r	We're so grateful for your help! I'm Riley. I'm a member of the Community Gardeners.	game/script.rpy	418	r "[what]"
rileyintro_ed0f4082	r	My job is to advocate for the neighborhood and write persuasive proposals to help us get things we need for the community.	game/script.rpy	419	r "[what]"
rileyintro_1d4173cb	r	Sometimes the city's budget office forgets about the important things, like green spaces where we can breathe fresh air.	game/script.rpy	420	r "[what]"
rileyintro_08177fe8	r	What do you think about the empty lot?	game/script.rpy	421	r "[what]"
riley_support_3bdf5685	r	It really is! I'm glad we're on the same page. Elliot knew you'd be a great addition to our team.	game/script.rpy	432	r "[what]"
riley_support_ad862b8f	r	Now we just need to figure out how to make sure the Mayor gets it, too. Do you have any ideas for how to convince him?	game/script.rpy	433	r "[what]"
long_intro_aea99336	r	I'm the director of a nonprofit organization called CareWorks. We advocate for the needs of our neighborhood by setting up programs that help the people here.	game/script.rpy	446	r "[what]"
long_intro_ca46b540	r	We help run things like community food pantries and after-school activities for kids. My work with the Community Gardeners is part of that!	game/script.rpy	447	r "[what]"
long_intro_9d9b2d41	r	We do research to help present proposals to the City, so that we can convince them to use money and resources in ways that will help our community grow.	game/script.rpy	448	r "[what]"
long_intro_a3aff997	r	I'd love your help gathering notes to improve our persuasive writing about why community gardens matter! We're going to share it with the Mayor when we're ready.	game/script.rpy	449	r "[what]"
long_intro_fcd188cc	r	There are several other community gardens in the city, but they're all pretty far from this neighborhood, and folks here could really use a reliable source of fresh food.	game/script.rpy	450	r "[what]"
riley_against_af548af8	r	Oh really? I'm curious why you think that.	game/script.rpy	461	r "[what]"
riley_against_fac46fdd	r	Alright, maybe you'll think of a reason later.	game/script.rpy	464	r "[what]"
riley_against_edbc0437	r	Hmm. That's fair. I still think the garden has more benefits for the people and the environment, but that's worth considering.	game/script.rpy	468	r "[what]"
riley_against_1f36b2bf	r	The government often relies on data and algorithms. But some things, like the value of a community garden, can't be measured in money alone. It's measured in how it helps empower the people who live here.	game/script.rpy	469	r "[what]"
riley_plan_d46634e4	r	I bet if we work together we can make a presentation so persuasive that it blows the socks off the Mayor and runs CityPark right out of town.	game/script.rpy	482	r "[what]"
riley_plan_fd06abbf	r	I'd love to hear your ideas!	game/script.rpy	483	r "[what]"
riley_plan_2423fe70	r	Sweet. What do you think we should say to convince the Mayor that a community garden is good for the neighborhood?	game/script.rpy	487	r "[what]"
ca_eval_riley_94a681c6	r	No worries. We can brainstorm when you're ready.	game/script.rpy	499	r "[what]"
ca_eval_riley_0ec17e62	r	Are there other ideas you want to run by me?	game/script.rpy	536	r "[what]"
ca_eval_riley_5dcfe669	r	Okay! Let me know if I can help as you gather more notes.	game/script.rpy	542	r "[what]"
not_convinced_399270d3	r	Hey, I'm used to convincing skeptical people. Don't you worry! I bet if you talk to folks around town and hear what they have to say, you might see it a little differently.	game/script.rpy	547	r "[what]"
bye_riley2_b91bdffb	r	Awesome! If you want to run any ideas by me before you talk to the Mayor, I'd be happy to help you workshop your argument. See ya!	game/script.rpy	553	r "[what]"
riley_2_013d2251	r	Back again! I'm glad. What's up?	game/script.rpy	561	r "[what]"
riley_2_d7137b03	r	Amazing! What ideas have you found about how we should use the empty lot?	game/script.rpy	569	r "[what]"
ca_foodjustice_5b8eb336	r	Oh, all sorts of things! What are you curious about?	game/script.rpy	575	r "[what]"
foodknowledge_loop_a4b4d885	r	Anything else you'd like to know?	game/script.rpy	638	r "[what]"
foodknowledge_loop_d7137b03	r	Amazing! What ideas have you found about how we should use the empty lot?	game/script.rpy	646	r "[what]"
foodknowledge_57ee2c1a	r	No worries. Ask me again anytime.	game/script.rpy	654	r "[what]"
byeriley_301be4a7	r	Keep doing great things! I'll be here if you need me.	game/script.rpy	680	r "[what]"
amara_1_f617990b	a	Hi! I'm Amara - I'm the lead scientist here at the food lab. Great to meet you.	game/script.rpy	698	a "[what]"
foodscientist_3482d4ce	a	Food scientists use chemistry, biology, and other sciences to study and analyze nutritional content like protein, fats, and vitamins.	game/script.rpy	720	a "[what]"
foodscientist_f1fe3bfb	a	We look at food quality, how to make nutrients last longer, and what causes food go bad. It can really help with making processed foods safe and healthy.	game/script.rpy	721	a "[what]"
foodscientist_f34587e9	a	So, basically, our aim is to help everyone have fresh, safe, and nutritious food.	game/script.rpy	722	a "[what]"
garden_info_492e34e4	a	The neighborhood has been buzzing with discussion about the empty lot and that parking company that wants to buy it up.	game/script.rpy	727	a "[what]"
garden_info_f4de51bb	a	From a food scientist's perspective, I really hope the Mayor supports the community garden.	game/script.rpy	728	a "[what]"
garden_info_db02b56d	a	I knew I liked you!	game/script.rpy	736	a "[what]"
reasons_d76bb9e3	a	People without local produce markets or community gardens mostly have to rely on shipped and preserved food.	game/script.rpy	740	a "[what]"
reasons_7181e43f	a	Shipping food isn't bad, necessarily, but it makes getting fresh, healthy food more complicated.	game/script.rpy	741	a "[what]"
reasons_82940d5e	a	In order to ship food from different places, you need to process the food to preserve its taste and prevent it from going bad.	game/script.rpy	742	a "[what]"
reasons_496a44ff	a	We usually freeze, cook, or can foods, or add some chemicals, which are also known as food additives.	game/script.rpy	743	a "[what]"
reasons_f4029050	a	When we process food, the food loses some nutrients and often ends up having high levels of sugar, salt, and fat, and not all food additives are good for our bodies.	game/script.rpy	744	a "[what]"
reasons_93c15771	a	That means if we only have access to shipped foods, we might have issues with lack of nutrition or we might eat too much of these unhealthy food additives.	game/script.rpy	745	a "[what]"
reasons_97f1b734	a	Anyway, a community garden doesn't fix everything, but it gives the people in the neighborhood another option for how to get affordable, fresh food.	game/script.rpy	746	a "[what]"
lab_stuff_38d0d0fc	a	I research things about food, how it grows, and how our bodies use it.	game/script.rpy	751	a "[what]"
lab_stuff_e93d09dc	a	When I was younger, I got so interested in food, especially fruits and vegetables that have a variety of colors.	game/script.rpy	752	a "[what]"
lab_stuff_7562ec52	a	Did you know that fruits and vegetables with different colors usually provide our bodies with different kinds of nutrients?	game/script.rpy	753	a "[what]"
lab_stuff_c3cc6af1	a	Those are the kinds of things I explore in my lab - what kinds of nutrients different foods have, and how to make sure foods are safe and healthy for our bodies.	game/script.rpy	754	a "[what]"
bye_amara_8e82d3a4	a	Oh okay! Well you're welcome to hang out, let me know if you get curious about anything!	game/script.rpy	759	a "[what]"
amara_2_2121e088	a	Hey there! What are you up to?	game/script.rpy	768	a "[what]"
amara_revisit_423cb091	a	Oh, I'm full of facts. Maybe I can help!	game/script.rpy	774	a "[what]"
sciencequestions_07f25761	a	What are you curious about?	game/script.rpy	784	a "[what]"
genetics_85de0998	a	Oh, plant genetics are so interesting. Like people, plants have DNA that carries information about the different kinds of traits they have.	game/script.rpy	801	a "[what]"
genetics_62b6a234	a	And just like with people, diversity makes plants stronger. Genetic diversity means that plants have lots of unique traits, so that a pest or weather change that harms one plant might not bother another.	game/script.rpy	802	a "[what]"
genetics_20f808ff	a	When our local ecosystem has a large variety of plants with diverse genetics, the overall ecosystem is healthier and more resilient.	game/script.rpy	803	a "[what]"
genetics2_7aee4dc3	a	Okay! So the thing with big farms and genetic diversity is that many of them like to pick the strongest and best-producing plants to grow over and over.	game/script.rpy	813	a "[what]"
genetics2_bb2e5210	a	For example, if all the big farms choose to grow the same type of strawberry plant because it grows big berries, then we start to lose some of the interesting local varieties that might be smaller, but have unique flavors or taste extra sweet.	game/script.rpy	814	a "[what]"
genetics2_70b8ed40	a	Someday the big strawberry plant might not be able to grow very well as our environment changes, so we need to protect genetic diversity to protect our future food system!	game/script.rpy	815	a "[what]"
soil_87e80381	a	Soil is super important for the health of plants. Dirt just looks like dirt at first glance, but there are actually 14 different nutrients in the soil that can change how plants grow.	game/script.rpy	819	a "[what]"
soil_807507fc	a	Different plants need different amounts of nutrients, but they all need the same ones - the big ones are nitrogen, phosphorus, and potassium. But calcium, magnesium, and sulfur are important too.	game/script.rpy	820	a "[what]"
soil_c112ec56	a	It's very important to keep track of the nutrients in the soil, because healthier soil can grow stronger plants, more food, and in some cases even healthier food.	game/script.rpy	821	a "[what]"
soil2_9ba41824	a	Some people like to grow their own food, because then they can be in control of the soil quality and the kinds of pesticides that are used on the food they eat.	game/script.rpy	831	a "[what]"
soil2_7b5674b1	a	Learning to grow your own food can also help to teach people useful skills and knowledge about food science, health, and farming pratices!	game/script.rpy	832	a "[what]"
environment_b97a2290	a	For the ecosystem, gardens give insects and animals a home. They provide food for pollinators and can be especially helpful if they're full of native plants.	game/script.rpy	836	a "[what]"
environment_b3991567	a	For our air, gardens help to filter pollution, especially if you have large plants like trees that can filter out lots of pollutants. Plants also produce oxygen for us to breathe.	game/script.rpy	837	a "[what]"
environment_324a073c	a	Local gardens also let us grow food that doesn't need to be driven a long way in order to get to us - so they help to make our food system more sustainable.	game/script.rpy	838	a "[what]"
environment2_0f2b9dfc	a	Food systems are so big and complex, and there isn't just one right answer for how to get healthy food to people and how to do it well. But I love complicated problems! That's why I'm a scientist.	game/script.rpy	848	a "[what]"
environment2_df466e99	a	And every family is different - sometimes our family recipes need ingredients that aren't easy to find in the grocery store.	game/script.rpy	849	a "[what]"
environment2_3a65f9db	a	So we should ask ourselves: how do we make sure everyone can find the foods they need and want, so that everyone has a voice in how they grow and buy their food?	game/script.rpy	850	a "[what]"
parkingquestions_9191f778	a	Ah, so you're curious about how the parking [structure] will impact the neighborhood?	game/script.rpy	854	a "[what]"
parkingquestions_6b6b51ed	a	I mostly study food, so I don't know a ton about the economic impact of parking [structure]s or how cars change the environment.	game/script.rpy	855	a "[what]"
parkingquestions_5f433799	a	Wes might know more - he did a lot of that research when he was building the Westgate community garden!	game/script.rpy	856	a "[what]"
byeamara_06cc7312	a	Have a great day! Let me know if I can help with your research.	game/script.rpy	861	a "[what]"
garden_1ade3ffc	narrator	You arrive at a community garden across town after a long bus ride. The garden is full of colorful fruits and vegetables growing in planter boxes and plots on the ground.	game/script.rpy	885	narrator "[what]"
garden_795f7b07	narrator	A friendly looking older man gives you a wave. Others are walking through the garden or tending to plants, and beyond them, you see a row of beehives.	game/script.rpy	886	narrator "[what]"
gardenregular_5d28f31d	narrator	Click the person you want to talk to, click the button to visit the beehives, or click the map to travel somewhere else.	game/script.rpy	892	narrator "[what]"
victor_chatting_fb850380	v	Hi, I'm Victor. I just moved here a few months ago. Great to meet you!	game/script.rpy	903	v "[what]"
victor_chatting_f3919038	v	There's a really delicious soup from my hometown that I've been craving ever since I moved.	game/script.rpy	904	v "[what]"
victor_chatting_cb3d191b	v	But the grocery stores here don't sell the kinds of vegetables that my family uses to make the soup extra flavorful and special.	game/script.rpy	905	v "[what]"
victor_chatting_c36c0d71	v	I really want to make a soup that tastes like home. I wonder if the community gardeners would let me grow my own vegetables here?	game/script.rpy	906	v "[what]"
victor_chatting_4dbcddc7	v	I don't even have a balcony at my apartment, much less a yard. But maybe if I lived near a garden, I could learn how to grow things.	game/script.rpy	907	v "[what]"
victormenu_db387115	v	Okay! See you later.	game/script.rpy	924	v "[what]"
victoropinion_68493cd3	v	Yeah! I think a garden would be a great use of land for the neighborhood. It will let us grow heirloom produce that we can't find in stores.	game/script.rpy	933	v "[what]"
victoropinion_3990b1a2	v	A neighborhood garden would also give everybody access to fresh food, even if they don't have a lot of money to spend on groceries.	game/script.rpy	934	v "[what]"
victoropinion_3070a885	v	Since some neighborhoods don't have supermarkets, a garden would give more people healthy food options. And it can be fun to grow things yourself!	game/script.rpy	935	v "[what]"
heirloommenu_db387115	v	Okay! See you later.	game/script.rpy	950	v "[what]"
heirloom_a43d61f6	v	Heirloom fruits and vegetables are varieties of plants that have been passed down for many generations through seeds.	game/script.rpy	959	v "[what]"
heirloom_5b00d33e	v	Heirloom produce has unique colors, shapes, and flavors that you won't find at most grocery stores, because these types of plants aren't used in the big commercial farms that make most of our food.	game/script.rpy	960	v "[what]"
heirloom_a3ec9b18	v	Big farms use plants that make large, nice looking fruit, because it sells better at the store.	game/script.rpy	961	v "[what]"
heirloom_e82e2f11	v	Those big farm varieties are also bred to be more resistant to disease and weather, so the crops survive better.	game/script.rpy	962	v "[what]"
heirloom_b34cb4c5	v	But the tradeoff is that without heirloom versions of plants, we have less variety in tasty and unique flavors of produce.	game/script.rpy	963	v "[what]"
whyheirloom_f6f291b2	v	I really love the taste of heirloom fruits and veggies better. They're just extra juicy and have unique flavors.	game/script.rpy	967	v "[what]"
whyheirloom_bca87cae	v	Growing up, my family used heirloom plants that our neighbors grew to make my favorite foods, like the soup I want to make!	game/script.rpy	968	v "[what]"
whyheirloom_a32bad5a	v	So those different varieties of heirloom produce remind me of home. The grocery store versions just don't taste the same, if I can find them at all.	game/script.rpy	969	v "[what]"
gardenknowledge_c0d45ba2	v	Not at all! I've never grown anything before. But Wes said he would be happy to teach me.	game/script.rpy	973	v "[what]"
gardenknowledge_b647b707	v	I thought growing my own food would be too hard, but the community gardeners have lots of guides to help us figure out how to care for different kinds of plants.	game/script.rpy	974	v "[what]"
gardenfar_26e16640	v	No, it took me 45 minutes to get here on the bus. But I heard that the gardeners are trying to turn the empty lot near my house into a garden!	game/script.rpy	978	v "[what]"
gardenfar_da427c98	v	That lot is only a 10 minute walk from my apartment. If we had a garden there, it would be a lot easier for me to grown my own vegetables.	game/script.rpy	979	v "[what]"
wes_1_a0377c2e	w	Hey there! Welcome to the Westport Community Garden. Elliot called and said you might come by.	game/script.rpy	996	w "[what]"
wes_1_22c5c476	w	Feel free to explore the garden, and let me know if you are curious about anything.	game/script.rpy	997	w "[what]"
growing_food_40ad8daa	w	We grow all sorts of food here! Tomatoes, watermelon, zucchini, cucumbers, bell peppers, strawberries - the list goes on!	game/script.rpy	1022	w "[what]"
growing_food_61ea4529	w	Some of the plants, like tomatoes, we grow in containers, and others like the melons need more space to spread out.	game/script.rpy	1023	w "[what]"
growing_food_4efd276b	w	Growing your own food means the fruits and vegetables will be fresher and tastier, because they don't have to travel from other states or countries to get to your plate.	game/script.rpy	1024	w "[what]"
growing_food_832b6ed3	w	Homegrown fruits and vegetables are also good for our health because we can control the soil quality - and better soil means more nutritious produce.	game/script.rpy	1025	w "[what]"
garden_benefits_e90e574e	w	Absolutely! Gardens are really useful for people and for the insects and animals that live around here.	game/script.rpy	1030	w "[what]"
garden_benefits_663edefd	w	The people in the neighborhood can grow fresh fruits and vegetables, and all the different plants and flowers provide food for pollinators.	game/script.rpy	1031	w "[what]"
wes_pollen_fbb80816	w	Pollinators are creatures like bees and butterflies that transfer pollen from one flower to another.	game/script.rpy	1055	w "[what]"
wes_pollen_309c5983	w	This helps the plants reproduce and grow food - lots of plants can't grow their fruits without the help of pollinators!	game/script.rpy	1056	w "[what]"
types_pollinators_25dfc5c1	w	Honeybees are a particularly important pollinator for humans, because they pollinate a lot of the food crops that we grow.	game/script.rpy	1060	w "[what]"
types_pollinators_9a80a645	w	Flies, butterflies, birds, and even bats also pollinate particular types of flowers in different regions of the world.	game/script.rpy	1061	w "[what]"
types_pollinators_e6e5380d	w	But insects are definitely the most common pollinators when it comes to the foods that humans eat.	game/script.rpy	1062	w "[what]"
plants_help_e61d862f	w	Many pollinators, like honeybees, get food from plants by drinking flower nectar and eating pollen.	game/script.rpy	1066	w "[what]"
plants_help_87de4452	w	When the pollinators visit the plants, they move pollen from one part of the flower to another while they are gathering food.	game/script.rpy	1067	w "[what]"
plants_help_033c7528	w	It's a happy little accident - they're just trying to get food for themselves, but they end up helping us grow our food, too!	game/script.rpy	1068	w "[what]"
plants_help_8d9a12ad	w	Pollination helps the plants grow nice healthy fruits, which gives us yummy things to eat!	game/script.rpy	1069	w "[what]"
wes_plants_247b7005	w	Plants can be pollinated by wind, by insects and animals, and by people. This happens when pollen from a plant's flower is moved from the male part of the flower to the female part of the flower.	game/script.rpy	1073	w "[what]"
wes_plants_e49a2b73	w	People can pollinate some plants by using cotton swabs to help transfer pollen between flowers. This can be helpful when there aren't lots of pollinators around, but it takes a lot of time.	game/script.rpy	1074	w "[what]"
wes_plants_34a2a7a2	w	If we want to grow lots of food, it's better to have pollinators nearby who can help the plants grow healthy.	game/script.rpy	1075	w "[what]"
gardenquestions_0eebee75	w	What would you like to know about the garden?	game/script.rpy	1080	w "[what]"
gardenquestions_45d3cb67	w	Alright, just flag me down if you think of something.	game/script.rpy	1083	w "[what]"
bye_wes_d4197b48	w	It was great talking with you. Come by anytime, kid.	game/script.rpy	1114	w "[what]"
wes_2_6cc62741	w	Hope you're enjoying the garden, friend. Can I help with anything?	game/script.rpy	1123	w "[what]"
bye_wes2_faa711a6	w	No problem. Enjoy the garden!	game/script.rpy	1136	w "[what]"
wes_ca_25cf2c4f	w	What would you like to know?	game/script.rpy	1141	w "[what]"
wes_ca_38df314b	w	All good. Come find me if you have another question.	game/script.rpy	1144	w "[what]"
wes_ca_4f924fc4	w	Would you like to know anything else?	game/script.rpy	1169	w "[what]"
bees_chatting_dd2d0c52	narrator	There are lots of bees buzzing about as you approach the beehives. The beekeeper smiles warmly at you.	game/script.rpy	1193	narrator "[what]"
bees_chatting_5bf0177d	narrator	A small child is grinning and laughing as he watches the bees fly by. A worried-looking woman watches him carefully.	game/script.rpy	1194	narrator "[what]"
hivesregular_f1e5e3c7	narrator	Click the person you want to talk to, or click the map to travel somewhere else.	game/script.rpy	1200	narrator "[what]"
nadia_1_5920961f	n	Hi, I'm Nadia. I'm a beekeeper, though you can probably tell that from the outfit. I take care of the beehives in several community gardens around town.	game/script.rpy	1217	n "[what]"
nadia_1_f56d42ce	n	If you have any questions about bees, plants, and pollination, I'd be happy to tell you what I know.	game/script.rpy	1218	n "[what]"
beekeeper_1ceb18ec	n	I grew up on a farm, and I always thought bees were amazing. They're so small, but also so coordinated and intelligent!	game/script.rpy	1290	n "[what]"
beekeeper_5ab0e717	n	Did you know that bees communicate the locations of flowers to each other by dancing? How cool is that?	game/script.rpy	1291	n "[what]"
beekeeper_faeb7648	n	Anyway, bees are just such an important part of our ecosystem that I wanted to do something to help take care of them.	game/script.rpy	1292	n "[what]"
beekeeper_2d133066	n	Bees are important for pollinating lots of crops, such as almonds, apples, and blueberries. Without bees, many crops would have to be pollinated by hand, which would take a ton of time and money.	game/script.rpy	1293	n "[what]"
nadia_ca_65cbb4a0	n	Alright! Come back if you want to talk more about bees.	game/script.rpy	1300	n "[what]"
nadia_ca_bc545e10	n	Do you have any other questions?	game/script.rpy	1327	n "[what]"
bye_nadia_67da26bb	n	It was nice to meet you. Let me know if you have any more questions as you explore the garden!	game/script.rpy	1338	n "[what]"
nadia_2_d95b4f51	n	Hello dear! Can I help you with anything?	game/script.rpy	1345	n "[what]"
bye_nadia2_9110f921	n	No problem at all. Enjoy your visit!	game/script.rpy	1355	n "[what]"
x_1_6edd5f8c	x	Hi! Are you a gardener?	game/script.rpy	1372	x "[what]"
alex_visitor_f4dcf454	x	Us too! Mom says they might build a garden like this next door to our apartment building.	game/script.rpy	1383	x "[what]"
alex_visitor_102caa4e	x	I love the bees buzzing! Buzzzz buzzz buzzz...	game/script.rpy	1384	x "[what]"
alex_gardener_f49cfc2c	x	Whoa! Me too. I like worms. And dirt. And BEES!	game/script.rpy	1388	x "[what]"
gardenthink_41c52592	x	I like this garden! There's so many bees. Mom thinks they're creepy but I like them!	game/script.rpy	1409	x "[what]"
gardenthink_fd453234	x	And Wes gave me a tomato! It was yummy. Maybe I could grow big tomatoes like that if I was a gardener.	game/script.rpy	1410	x "[what]"
alex_lot_1c33c9b7	x	The big old dirt patch? Yeah. I throw rocks at the fence sometimes. Don't tell my mom.	game/script.rpy	1414	x "[what]"
alex_growfood_2912b65b	x	I don't know. Can you grow pizza in a garden?	game/script.rpy	1418	x "[what]"
alex_growfood_0d58eccf	x	Mom says she wants to grow spinach and tomatoes. Tomatoes are pizza! So we can grow part of the pizza.	game/script.rpy	1419	x "[what]"
alex_growfood_910bd358	x	I like blueberries too. We don't get the fresh ones lots but they're way juicier than the frozen bag ones.	game/script.rpy	1420	x "[what]"
bye_alex_9312dd08	x	Hahaha! Buzz you later!	game/script.rpy	1424	x "[what]"
sadkid_9874061d	x	Ohh...	game/script.rpy	1433	x "[what]"
x_2_04945857	x	Buzzzz... buzz buzz buzz!	game/script.rpy	1439	x "[what]"
alex_buzz_e9f190c7	x	There's a bee by your head. I think it likes you!	game/script.rpy	1447	x "[what]"
alex_buzz_1c356da6	t	Oh I love that kid. By the way, do you need any help? You can always click my button to say hi if you get bored!	game/script.rpy	1452	t "[what]"
